Date,Country.Region,WHO.Region,Continent,Population,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,New Recovered,Active_per_1Mpopulation,Deaths_per_1Mpopulation,Recovered_per_1Mpopulation
2020-01-27,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-01-27,China,Western Pacific,Asia,1421864031,5754.0,164.0,116.0,5474.0,1604.0,52.0,18.0,3.8498758535653543,0.11534154913860395,0.08158304695169548
2020-01-27,Germany,Europe,Europe,83811260,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.011931571008477857,0.0,0.0
2020-01-27,Japan,Western Pacific,Asia,126435859,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.023727445866445217,0.0,0.007909148622148405
2020-01-27,Malaysia,Western Pacific,Asia,32406372,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.12343251506216124,0.0,0.0
2020-01-27,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-01-27,Singapore,Western Pacific,Asia,5854932,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.8539808831255427,0.0,0.0
2020-01-27,South Korea,Western Pacific,Asia,51273732,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.07801265568108053,0.0,0.0
2020-01-27,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-01-27,Taiwan*,Western Pacific,Asia,23821199,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.20989707528995497,0.0,0.0
2020-01-27,Thailand,South-East Asia,Asia,69817894,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.08593785426985237,0.0,0.028645951423284122
2020-01-27,US,Americas,North America,331198130,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.015096703595518488,0.0,0.0
2020-01-27,Vietnam,Western Pacific,Asia,97425470,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020528512718491376,0.0,0.0
2020-01-28,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-01-28,China,Western Pacific,Asia,1421864031,11018.0,262.0,202.0,10554.0,5264.0,98.0,86.0,7.422650668346501,0.18426515777020874,0.14206703003657317
2020-01-28,Germany,Europe,Europe,83811260,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.04772628403391143,0.0,0.0
2020-01-28,Japan,Western Pacific,Asia,126435859,7.0,0.0,1.0,6.0,3.0,0.0,0.0,0.047454891732890435,0.0,0.007909148622148405
2020-01-28,Malaysia,Western Pacific,Asia,32406372,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.12343251506216124,0.0,0.0
2020-01-28,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-01-28,Singapore,Western Pacific,Asia,5854932,7.0,0.0,0.0,7.0,2.0,0.0,0.0,1.1955732363757599,0.0,0.0
2020-01-28,South Korea,Western Pacific,Asia,51273732,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.07801265568108053,0.0,0.0
2020-01-28,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-01-28,Taiwan*,Western Pacific,Asia,23821199,8.0,0.0,0.0,8.0,3.0,0.0,0.0,0.33583532046392794,0.0,0.0
2020-01-28,Thailand,South-East Asia,Asia,69817894,14.0,0.0,5.0,9.0,6.0,0.0,3.0,0.12890678140477854,0.0,0.0716148785582103
2020-01-28,US,Americas,North America,331198130,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.015096703595518488,0.0,0.0
2020-01-28,Vietnam,Western Pacific,Asia,97425470,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020528512718491376,0.0,0.0
2020-01-29,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-01-29,China,Western Pacific,Asia,1421864031,12174.0,266.0,238.0,11670.0,1156.0,4.0,36.0,8.207535844192124,0.18707836628578448,0.16738590667675451
2020-01-29,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-01-29,Germany,Europe,Europe,83811260,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.04772628403391143,0.0,0.0
2020-01-29,Japan,Western Pacific,Asia,126435859,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.047454891732890435,0.0,0.007909148622148405
2020-01-29,Malaysia,Western Pacific,Asia,32406372,7.0,0.0,0.0,7.0,3.0,0.0,0.0,0.21600690135878217,0.0,0.0
2020-01-29,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-01-29,Singapore,Western Pacific,Asia,5854932,7.0,0.0,0.0,7.0,0.0,0.0,0.0,1.1955732363757599,0.0,0.0
2020-01-29,South Korea,Western Pacific,Asia,51273732,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.07801265568108053,0.0,0.0
2020-01-29,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-01-29,Taiwan*,Western Pacific,Asia,23821199,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.33583532046392794,0.0,0.0
2020-01-29,Thailand,South-East Asia,Asia,69817894,14.0,0.0,5.0,9.0,0.0,0.0,0.0,0.12890678140477854,0.0,0.0716148785582103
2020-01-29,US,Americas,North America,331198130,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.015096703595518488,0.0,0.0
2020-01-29,United Arab Emirates,Eastern Mediterranean,Asia,9902079,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4039555733699963,0.0,0.0
2020-01-29,Vietnam,Western Pacific,Asia,97425470,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020528512718491376,0.0,0.0
2020-01-30,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-01-30,China,Western Pacific,Asia,1421864031,16282.0,342.0,266.0,15674.0,4108.0,76.0,28.0,11.023557568283405,0.2405293280817229,0.18707836628578448
2020-01-30,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-01-30,Germany,Europe,Europe,83811260,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.04772628403391143,0.0,0.0
2020-01-30,India,South-East Asia,Asia,1381344997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007239321112189904,0.0,0.0
2020-01-30,Japan,Western Pacific,Asia,126435859,11.0,0.0,1.0,10.0,4.0,0.0,0.0,0.07909148622148404,0.0,0.007909148622148405
2020-01-30,Malaysia,Western Pacific,Asia,32406372,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.24686503012432248,0.0,0.0
2020-01-30,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-01-30,Philippines,Western Pacific,Asia,109722719,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009113882786663353,0.0,0.0
2020-01-30,Singapore,Western Pacific,Asia,5854932,10.0,0.0,0.0,10.0,3.0,0.0,0.0,1.7079617662510853,0.0,0.0
2020-01-30,South Korea,Western Pacific,Asia,51273732,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.07801265568108053,0.0,0.0
2020-01-30,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-01-30,Taiwan*,Western Pacific,Asia,23821199,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.3778147355219189,0.0,0.0
2020-01-30,Thailand,South-East Asia,Asia,69817894,14.0,0.0,5.0,9.0,0.0,0.0,0.0,0.12890678140477854,0.0,0.0716148785582103
2020-01-30,US,Americas,North America,331198130,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.015096703595518488,0.0,0.0
2020-01-30,United Arab Emirates,Eastern Mediterranean,Asia,9902079,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4039555733699963,0.0,0.0
2020-01-30,Vietnam,Western Pacific,Asia,97425470,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020528512718491376,0.0,0.0
2020-01-31,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-01-31,China,Western Pacific,Asia,1421864031,19604.0,426.0,422.0,18756.0,3322.0,84.0,156.0,13.191134729534486,0.2996067069088127,0.296793498393237
2020-01-31,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-01-31,Germany,Europe,Europe,83811260,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.059657855042389296,0.0,0.0
2020-01-31,India,South-East Asia,Asia,1381344997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007239321112189904,0.0,0.0
2020-01-31,Italy,Europe,Europe,60452568,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03308378893019069,0.0,0.0
2020-01-31,Japan,Western Pacific,Asia,126435859,15.0,0.0,1.0,14.0,4.0,0.0,0.0,0.11072808071007767,0.0,0.007909148622148405
2020-01-31,Malaysia,Western Pacific,Asia,32406372,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.24686503012432248,0.0,0.0
2020-01-31,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-01-31,Philippines,Western Pacific,Asia,109722719,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009113882786663353,0.0,0.0
2020-01-31,Russia,Europe,Europe,145940924,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.013704175259298757,0.0,0.0
2020-01-31,Singapore,Western Pacific,Asia,5854932,13.0,0.0,0.0,13.0,3.0,0.0,0.0,2.2203502961264108,0.0,0.0
2020-01-31,South Korea,Western Pacific,Asia,51273732,11.0,0.0,0.0,11.0,7.0,0.0,0.0,0.21453480312297143,0.0,0.0
2020-01-31,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-01-31,Sweden,Europe,Europe,10105596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09895507400058344,0.0,0.0
2020-01-31,Taiwan*,Western Pacific,Asia,23821199,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.41979415057990993,0.0,0.0
2020-01-31,Thailand,South-East Asia,Asia,69817894,19.0,0.0,5.0,14.0,5.0,0.0,0.0,0.20052165996298885,0.0,0.0716148785582103
2020-01-31,US,Americas,North America,331198130,7.0,0.0,0.0,7.0,2.0,0.0,0.0,0.021135385033725886,0.0,0.0
2020-01-31,United Arab Emirates,Eastern Mediterranean,Asia,9902079,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4039555733699963,0.0,0.0
2020-01-31,Vietnam,Western Pacific,Asia,97425470,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020528512718491376,0.0,0.0
2020-02-01,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-02-01,China,Western Pacific,Asia,1421864031,23782.0,518.0,544.0,22720.0,4178.0,92.0,122.0,15.97902436847001,0.36431050276705396,0.38259635811829606
2020-02-01,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-02-01,Germany,Europe,Europe,83811260,8.0,0.0,0.0,8.0,3.0,0.0,0.0,0.09545256806782286,0.0,0.0
2020-02-01,India,South-East Asia,Asia,1381344997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007239321112189904,0.0,0.0
2020-02-01,Italy,Europe,Europe,60452568,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03308378893019069,0.0,0.0
2020-02-01,Japan,Western Pacific,Asia,126435859,20.0,0.0,1.0,19.0,5.0,0.0,0.0,0.1502738238208197,0.0,0.007909148622148405
2020-02-01,Malaysia,Western Pacific,Asia,32406372,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.24686503012432248,0.0,0.0
2020-02-01,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-02-01,Philippines,Western Pacific,Asia,109722719,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009113882786663353,0.0,0.0
2020-02-01,Russia,Europe,Europe,145940924,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.013704175259298757,0.0,0.0
2020-02-01,Singapore,Western Pacific,Asia,5854932,16.0,0.0,0.0,16.0,3.0,0.0,0.0,2.7327388260017367,0.0,0.0
2020-02-01,South Korea,Western Pacific,Asia,51273732,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.23403796704324156,0.0,0.0
2020-02-01,Spain,Europe,Europe,46756648,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02138733298417799,0.0,0.0
2020-02-01,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-02-01,Sweden,Europe,Europe,10105596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09895507400058344,0.0,0.0
2020-02-01,Taiwan*,Western Pacific,Asia,23821199,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.41979415057990993,0.0,0.0
2020-02-01,Thailand,South-East Asia,Asia,69817894,19.0,0.0,5.0,14.0,0.0,0.0,0.0,0.20052165996298885,0.0,0.0716148785582103
2020-02-01,US,Americas,North America,331198130,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.024154725752829582,0.0,0.0
2020-02-01,United Arab Emirates,Eastern Mediterranean,Asia,9902079,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4039555733699963,0.0,0.0
2020-02-01,Vietnam,Western Pacific,Asia,97425470,6.0,0.0,1.0,5.0,4.0,0.0,1.0,0.05132128179622844,0.0,0.010264256359245688
2020-02-02,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-02-02,China,Western Pacific,Asia,1421864031,33260.0,722.0,900.0,31638.0,9478.0,204.0,356.0,22.25107275394605,0.507784137061415,0.632971916004534
2020-02-02,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-02-02,Germany,Europe,Europe,83811260,10.0,0.0,0.0,10.0,2.0,0.0,0.0,0.11931571008477859,0.0,0.0
2020-02-02,India,South-East Asia,Asia,1381344997,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0014478642224379809,0.0,0.0
2020-02-02,Italy,Europe,Europe,60452568,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03308378893019069,0.0,0.0
2020-02-02,Japan,Western Pacific,Asia,126435859,20.0,0.0,1.0,19.0,0.0,0.0,0.0,0.1502738238208197,0.0,0.007909148622148405
2020-02-02,Malaysia,Western Pacific,Asia,32406372,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.24686503012432248,0.0,0.0
2020-02-02,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-02-02,Philippines,Western Pacific,Asia,109722719,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.009113882786663353,0.009113882786663353,0.0
2020-02-02,Russia,Europe,Europe,145940924,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.013704175259298757,0.0,0.0
2020-02-02,Singapore,Western Pacific,Asia,5854932,18.0,0.0,0.0,18.0,2.0,0.0,0.0,3.0743311792519536,0.0,0.0
